0.79,	637.00,	343.00,	147.00,	7.00,	4,	0.25,	2,	39.97,	36.77
0.62,	808.50,	367.50,	220.50,	3.50,	5,	0.40,	5,	16.64,	16.03
0.66,	759.50,	318.50,	220.50,	3.50,	5,	0.10,	3,	11.61,	13.83
0.71,	710.50,	269.50,	220.50,	3.50,	5,	0.10,	2,	10.68,	14.21
0.76,	661.50,	416.50,	122.50,	7.00,	2,	0.10,	2,	33.16,	33.91
0.69,	735.00,	294.00,	220.50,	3.50,	2,	0.40,	2,	14.75,	16.44
0.79,	637.00,	343.00,	147.00,	7.00,	4,	0.25,	5,	39.01,	45.28
0.76,	661.50,	416.50,	122.50,	7.00,	5,	0.25,	1,	36.43,	36.62
0.86,	588.00,	294.00,	147.00,	7.00,	4,	0.40,	1,	32.09,	31.70
0.79,	637.00,	343.00,	147.00,	7.00,	2,	0.10,	3,	35.78,	43.12
0.79,	637.00,	343.00,	147.00,	7.00,	3,	0.10,	3,	35.48,	41.22
0.86,	588.00,	294.00,	147.00,	7.00,	3,	0.10,	3,	26.47,	31.01
0.86,	588.00,	294.00,	147.00,	7.00,	4,	0.40,	3,	32.05,	30.11
0.62,	808.50,	367.50,	220.50,	3.50,	5,	0.10,	3,	12.73,	13.89
0.79,	637.00,	343.00,	147.00,	7.00,	5,	0.10,	1,	35.94,	43.33
0.64,	784.00,	343.00,	220.50,	3.50,	5,	0.00,	0,	10.56,	16.67
0.74,	686.00,	245.00,	220.50,	3.50,	4,	0.10,	2,	10.32,	13.57
0.69,	735.00,	294.00,	220.50,	3.50,	4,	0.40,	1,	14.42,	16.87
0.86,	588.00,	294.00,	147.00,	7.00,	2,	0.25,	4,	29.47,	29.45
0.86,	588.00,	294.00,	147.00,	7.00,	2,	0.00,	0,	19.50,	27.30
0.98,	514.50,	294.00,	110.25,	7.00,	2,	0.10,	4,	24.38,	25.91
0.76,	661.50,	416.50,	122.50,	7.00,	4,	0.10,	2,	33.12,	34.17
0.82,	612.50,	318.50,	147.00,	7.00,	3,	0.25,	4,	24.96,	29.43
0.82,	612.50,	318.50,	147.00,	7.00,	2,	0.40,	4,	28.93,	28.20
0.62,	808.50,	367.50,	220.50,	3.50,	2,	0.25,	3,	13.91,	14.89
0.62,	808.50,	367.50,	220.50,	3.50,	3,	0.40,	4,	16.90,	16.79
0.90,	563.50,	318.50,	122.50,	7.00,	3,	0.10,	3,	29.01,	32.85
0.69,	735.00,	294.00,	220.50,	3.50,	3,	0.40,	4,	14.62,	16.88
0.69,	735.00,	294.00,	220.50,	3.50,	4,	0.40,	3,	14.33,	16.99
0.90,	563.50,	318.50,	122.50,	7.00,	4,	0.40,	2,	36.06,	34.94
0.82,	612.50,	318.50,	147.00,	7.00,	4,	0.40,	2,	28.64,	28.95
0.62,	808.50,	367.50,	220.50,	3.50,	4,	0.25,	2,	14.60,	15.14
0.62,	808.50,	367.50,	220.50,	3.50,	5,	0.25,	1,	15.16,	15.76
0.90,	563.50,	318.50,	122.50,	7.00,	4,	0.25,	4,	32.07,	36.16
0.66,	759.50,	318.50,	220.50,	3.50,	4,	0.10,	2,	11.33,	15.00
0.86,	588.00,	294.00,	147.00,	7.00,	5,	0.25,	3,	29.07,	29.82
0.71,	710.50,	269.50,	220.50,	3.50,	5,	0.40,	3,	13.86,	16.10
0.71,	710.50,	269.50,	220.50,	3.50,	3,	0.10,	3,	10.68,	13.77
0.90,	563.50,	318.50,	122.50,	7.00,	2,	0.10,	5,	29.83,	29.82
0.74,	686.00,	245.00,	220.50,	3.50,	3,	0.40,	5,	14.19,	16.62
0.62,	808.50,	367.50,	220.50,	3.50,	3,	0.10,	1,	12.97,	14.50
0.69,	735.00,	294.00,	220.50,	3.50,	3,	0.40,	2,	14.71,	17.01
0.86,	588.00,	294.00,	147.00,	7.00,	4,	0.25,	4,	29.08,	33.93
0.86,	588.00,	294.00,	147.00,	7.00,	4,	0.10,	3,	26.89,	25.90
0.71,	710.50,	269.50,	220.50,	3.50,	5,	0.00,	0,	6.40,	11.67
0.66,	759.50,	318.50,	220.50,	3.50,	4,	0.40,	4,	15.09,	18.36
0.86,	588.00,	294.00,	147.00,	7.00,	4,	0.25,	2,	29.27,	29.90
0.64,	784.00,	343.00,	220.50,	3.50,	2,	0.40,	4,	19.06,	21.68
0.74,	686.00,	245.00,	220.50,	3.50,	4,	0.40,	3,	14.10,	16.57
0.62,	808.50,	367.50,	220.50,	3.50,	2,	0.10,	1,	12.96,	14.34
0.79,	637.00,	343.00,	147.00,	7.00,	3,	0.25,	4,	38.84,	45.48
0.98,	514.50,	294.00,	110.25,	7.00,	2,	0.25,	5,	28.69,	29.53
0.64,	784.00,	343.00,	220.50,	3.50,	4,	0.40,	5,	18.16,	20.71
0.64,	784.00,	343.00,	220.50,	3.50,	2,	0.10,	4,	15.40,	19.24
0.76,	661.50,	416.50,	122.50,	7.00,	5,	0.25,	4,	36.26,	37.51
0.64,	784.00,	343.00,	220.50,	3.50,	3,	0.25,	2,	16.84,	20.56
0.79,	637.00,	343.00,	147.00,	7.00,	3,	0.40,	4,	41.73,	47.59
0.98,	514.50,	294.00,	110.25,	7.00,	3,	0.25,	1,	28.15,	29.79
0.71,	710.50,	269.50,	220.50,	3.50,	4,	0.10,	3,	10.68,	14.30
0.86,	588.00,	294.00,	147.00,	7.00,	3,	0.10,	5,	26.45,	27.33
0.86,	588.00,	294.00,	147.00,	7.00,	4,	0.40,	4,	32.15,	36.21
0.71,	710.50,	269.50,	220.50,	3.50,	4,	0.40,	4,	14.47,	17.23
0.82,	612.50,	318.50,	147.00,	7.00,	5,	0.10,	2,	22.79,	28.79
0.79,	637.00,	343.00,	147.00,	7.00,	2,	0.25,	2,	38.57,	43.86
0.69,	735.00,	294.00,	220.50,	3.50,	2,	0.10,	5,	11.21,	14.55
0.76,	661.50,	416.50,	122.50,	7.00,	2,	0.40,	4,	40.68,	40.36
0.79,	637.00,	343.00,	147.00,	7.00,	4,	0.10,	3,	36.97,	35.10
0.74,	686.00,	245.00,	220.50,	3.50,	5,	0.25,	2,	12.30,	15.44
0.74,	686.00,	245.00,	220.50,	3.50,	5,	0.40,	5,	14.39,	16.70
0.69,	735.00,	294.00,	220.50,	3.50,	5,	0.10,	4,	11.20,	14.73
0.74,	686.00,	245.00,	220.50,	3.50,	3,	0.25,	1,	12.50,	15.50
0.62,	808.50,	367.50,	220.50,	3.50,	4,	0.25,	3,	13.95,	14.89
0.66,	759.50,	318.50,	220.50,	3.50,	2,	0.40,	4,	15.34,	17.86
0.74,	686.00,	245.00,	220.50,	3.50,	5,	0.10,	3,	10.38,	13.49
0.64,	784.00,	343.00,	220.50,	3.50,	4,	0.25,	1,	17.52,	21.09
0.98,	514.50,	294.00,	110.25,	7.00,	4,	0.00,	0,	15.55,	21.33
0.90,	563.50,	318.50,	122.50,	7.00,	5,	0.40,	1,	35.96,	40.99
0.71,	710.50,	269.50,	220.50,	3.50,	4,	0.40,	2,	14.40,	17.27
0.66,	759.50,	318.50,	220.50,	3.50,	2,	0.10,	5,	11.38,	14.54
0.69,	735.00,	294.00,	220.50,	3.50,	3,	0.10,	3,	11.16,	14.27
0.79,	637.00,	343.00,	147.00,	7.00,	5,	0.25,	1,	39.04,	45.52
0.64,	784.00,	343.00,	220.50,	3.50,	2,	0.40,	5,	17.69,	20.82
0.64,	784.00,	343.00,	220.50,	3.50,	2,	0.10,	2,	15.41,	19.23
0.79,	637.00,	343.00,	147.00,	7.00,	4,	0.40,	4,	41.32,	46.23
0.86,	588.00,	294.00,	147.00,	7.00,	2,	0.40,	5,	32.31,	29.69
0.66,	759.50,	318.50,	220.50,	3.50,	2,	0.40,	3,	15.16,	17.04
0.71,	710.50,	269.50,	220.50,	3.50,	4,	0.40,	1,	14.50,	17.12
0.62,	808.50,	367.50,	220.50,	3.50,	3,	0.25,	2,	14.66,	15.64
0.74,	686.00,	245.00,	220.50,	3.50,	3,	0.25,	4,	12.30,	15.24
0.62,	808.50,	367.50,	220.50,	3.50,	2,	0.25,	1,	15.09,	15.77
0.66,	759.50,	318.50,	220.50,	3.50,	2,	0.25,	1,	13.17,	16.39
0.62,	808.50,	367.50,	220.50,	3.50,	4,	0.25,	4,	14.61,	15.07
0.82,	612.50,	318.50,	147.00,	7.00,	3,	0.10,	1,	24.03,	24.91
0.62,	808.50,	367.50,	220.50,	3.50,	4,	0.40,	5,	16.48,	16.61
0.66,	759.50,	318.50,	220.50,	3.50,	3,	0.25,	2,	12.93,	15.85
0.69,	735.00,	294.00,	220.50,	3.50,	3,	0.25,	2,	12.87,	15.85
0.71,	710.50,	269.50,	220.50,	3.50,	2,	0.25,	4,	12.36,	14.67
0.90,	563.50,	318.50,	122.50,	7.00,	5,	0.10,	2,	27.90,	34.20
0.98,	514.50,	294.00,	110.25,	7.00,	2,	0.25,	4,	28.70,	29.61
0.98,	514.50,	294.00,	110.25,	7.00,	2,	0.40,	5,	32.84,	32.88
0.90,	563.50,	318.50,	122.50,	7.00,	5,	0.25,	1,	32.00,	37.58
0.98,	514.50,	294.00,	110.25,	7.00,	2,	0.25,	3,	28.67,	29.43
0.74,	686.00,	245.00,	220.50,	3.50,	2,	0.25,	5,	12.12,	14.48
0.71,	710.50,	269.50,	220.50,	3.50,	5,	0.25,	3,	12.19,	14.94
0.62,	808.50,	367.50,	220.50,	3.50,	4,	0.10,	4,	13.00,	14.28
0.86,	588.00,	294.00,	147.00,	7.00,	5,	0.25,	5,	29.39,	33.47
0.64,	784.00,	343.00,	220.50,	3.50,	2,	0.25,	4,	16.99,	19.65
0.64,	784.00,	343.00,	220.50,	3.50,	5,	0.10,	1,	15.21,	19.32
0.79,	637.00,	343.00,	147.00,	7.00,	3,	0.40,	1,	42.62,	39.07
0.69,	735.00,	294.00,	220.50,	3.50,	4,	0.00,	0,	6.77,	11.73
0.82,	612.50,	318.50,	147.00,	7.00,	4,	0.00,	0,	16.95,	21.16
0.74,	686.00,	245.00,	220.50,	3.50,	5,	0.40,	2,	14.50,	17.03
0.62,	808.50,	367.50,	220.50,	3.50,	5,	0.25,	2,	14.60,	15.30
0.66,	759.50,	318.50,	220.50,	3.50,	4,	0.10,	3,	11.53,	13.59
0.69,	735.00,	294.00,	220.50,	3.50,	5,	0.10,	3,	11.14,	14.40
0.86,	588.00,	294.00,	147.00,	7.00,	4,	0.00,	0,	19.34,	23.49
0.98,	514.50,	294.00,	110.25,	7.00,	4,	0.10,	4,	24.04,	26.18
0.69,	735.00,	294.00,	220.50,	3.50,	5,	0.25,	1,	12.72,	15.78
0.71,	710.50,	269.50,	220.50,	3.50,	3,	0.10,	1,	10.80,	14.28
0.86,	588.00,	294.00,	147.00,	7.00,	4,	0.10,	5,	25.36,	32.04
0.62,	808.50,	367.50,	220.50,	3.50,	5,	0.40,	4,	16.77,	16.79
0.64,	784.00,	343.00,	220.50,	3.50,	2,	0.25,	2,	17.14,	20.47
0.74,	686.00,	245.00,	220.50,	3.50,	4,	0.40,	5,	14.17,	16.94
0.79,	637.00,	343.00,	147.00,	7.00,	2,	0.40,	3,	41.26,	46.44
0.64,	784.00,	343.00,	220.50,	3.50,	2,	0.25,	1,	17.50,	21.13
0.64,	784.00,	343.00,	220.50,	3.50,	2,	0.00,	0,	10.85,	16.78
0.74,	686.00,	245.00,	220.50,	3.50,	4,	0.10,	1,	10.36,	13.48
0.82,	612.50,	318.50,	147.00,	7.00,	4,	0.10,	1,	23.54,	24.61
0.74,	686.00,	245.00,	220.50,	3.50,	5,	0.40,	4,	14.44,	17.32
0.82,	612.50,	318.50,	147.00,	7.00,	2,	0.10,	5,	24.37,	25.11
0.86,	588.00,	294.00,	147.00,	7.00,	2,	0.10,	2,	26.48,	30.91
0.74,	686.00,	245.00,	220.50,	3.50,	4,	0.25,	3,	11.98,	14.72
0.69,	735.00,	294.00,	220.50,	3.50,	3,	0.10,	5,	11.14,	14.28
0.71,	710.50,	269.50,	220.50,	3.50,	3,	0.40,	4,	14.70,	17.20
0.82,	612.50,	318.50,	147.00,	7.00,	3,	0.10,	2,	24.23,	25.02
0.64,	784.00,	343.00,	220.50,	3.50,	4,	0.10,	2,	15.34,	19.32
0.86,	588.00,	294.00,	147.00,	7.00,	5,	0.40,	2,	31.64,	36.86
0.90,	563.50,	318.50,	122.50,	7.00,	3,	0.10,	2,	29.68,	29.44
0.66,	759.50,	318.50,	220.50,	3.50,	5,	0.25,	4,	12.92,	16.14
0.64,	784.00,	343.00,	220.50,	3.50,	4,	0.25,	4,	16.56,	20.37
0.79,	637.00,	343.00,	147.00,	7.00,	3,	0.25,	2,	40.19,	37.41
0.86,	588.00,	294.00,	147.00,	7.00,	3,	0.40,	2,	32.74,	30.53
0.64,	784.00,	343.00,	220.50,	3.50,	5,	0.40,	2,	19.12,	21.93
0.90,	563.50,	318.50,	122.50,	7.00,	2,	0.25,	2,	32.46,	35.56
0.79,	637.00,	343.00,	147.00,	7.00,	5,	0.10,	4,	37.10,	35.29
0.76,	661.50,	416.50,	122.50,	7.00,	3,	0.25,	4,	36.45,	36.76
0.79,	637.00,	343.00,	147.00,	7.00,	2,	0.40,	4,	42.77,	38.33
0.66,	759.50,	318.50,	220.50,	3.50,	3,	0.40,	4,	15.29,	17.82
0.98,	514.50,	294.00,	110.25,	7.00,	3,	0.25,	5,	28.58,	29.77
0.82,	612.50,	318.50,	147.00,	7.00,	4,	0.25,	4,	25.43,	28.76
